# time_delay 	 res_example_osc_4 	 eps
-2.00000000e+00 -5.70405299e-03 4.76015285e-03
-1.80000000e+00 -1.39921254e-03 4.76015285e-03
-1.60000000e+00 -5.20756524e-03 4.76015285e-03
-1.40000000e+00 1.38441238e-03 4.76015285e-03
-1.20000000e+00 -4.89952413e-04 4.76015285e-03
-1.00000000e+00 1.99353777e-03 4.76015285e-03
-9.80000000e-01 -4.99952074e-04 4.76015285e-03
-9.60000000e-01 -2.84449291e-03 4.76015285e-03
-9.40000000e-01 2.72637038e-03 4.76015285e-03
-9.20000000e-01 1.99966395e-03 4.76015285e-03
-9.00000000e-01 -5.92693087e-03 4.76015285e-03
-8.80000000e-01 -8.38929608e-04 4.76015285e-03
-8.60000000e-01 1.92290141e-03 4.76015285e-03
-8.40000000e-01 -2.60082806e-04 4.76015285e-03
-8.20000000e-01 -8.95847318e-03 4.76015285e-03
-8.00000000e-01 -5.74184638e-03 4.76015285e-03
-7.80000000e-01 -4.47734943e-03 4.76015285e-03
-7.60000000e-01 -2.35443210e-03 4.76015285e-03
-7.40000000e-01 -1.96516556e-03 4.76015285e-03
-7.20000000e-01 1.12197830e-02 4.76015285e-03
-7.00000000e-01 -5.41329587e-03 4.76015285e-03
-6.80000000e-01 -4.22815709e-03 4.76015285e-03
-6.60000000e-01 1.64837276e-06 4.76015285e-03
-6.40000000e-01 -3.57477215e-03 4.76015285e-03
-6.20000000e-01 -1.22565813e-03 4.76015285e-03
-6.00000000e-01 3.89495575e-03 4.76015285e-03
-5.80000000e-01 -7.48553566e-03 4.76015285e-03
-5.60000000e-01 4.40631780e-03 4.76015285e-03
-5.40000000e-01 -3.41190514e-03 4.76015285e-03
-5.20000000e-01 1.09593690e-03 4.76015285e-03
-5.00000000e-01 -3.78299852e-03 4.76015285e-03
-4.80000000e-01 -6.71175357e-03 4.76015285e-03
-4.60000000e-01 1.20439912e-03 4.76015285e-03
-4.40000000e-01 2.97390913e-03 4.76015285e-03
-4.20000000e-01 6.48432904e-03 4.76015285e-03
-4.00000000e-01 2.27792092e-03 4.76015285e-03
-3.80000000e-01 -5.89405776e-03 4.76015285e-03
-3.60000000e-01 9.40878196e-03 4.76015285e-03
-3.40000000e-01 -3.56273596e-04 4.76015285e-03
-3.20000000e-01 -5.77858495e-03 4.76015285e-03
-3.00000000e-01 3.91395159e-03 4.76015285e-03
-2.80000000e-01 2.27370550e-03 4.76015285e-03
-2.60000000e-01 1.47917783e-03 4.76015285e-03
-2.40000000e-01 -2.87968529e-03 4.76015285e-03
-2.20000000e-01 3.51813863e-03 4.76015285e-03
-2.00000000e-01 1.61725578e-03 4.76015285e-03
-1.80000000e-01 2.61082445e-03 4.76015285e-03
-1.60000000e-01 5.85082884e-03 4.76015285e-03
-1.40000000e-01 -6.94399993e-03 4.76015285e-03
-1.20000000e-01 2.91287212e-03 4.76015285e-03
-1.00000000e-01 1.80083084e-03 4.76015285e-03
-8.00000000e-02 -3.27797488e-03 4.76015285e-03
-6.00000000e-02 -4.64391357e-03 4.76015285e-03
-4.00000000e-02 2.12478316e-03 4.76015285e-03
-2.00000000e-02 3.87264473e-03 4.76015285e-03
8.88178420e-16 9.78307274e-04 4.76015285e-03
2.00000000e-02 2.42335590e-03 4.76015285e-03
4.00000000e-02 -2.10514269e-03 4.76015285e-03
6.00000000e-02 -8.03258109e-04 4.76015285e-03
8.00000000e-02 2.93337963e-03 4.76015285e-03
1.00000000e-01 -8.43121440e-03 4.76015285e-03
1.20000000e-01 6.53456437e-03 4.76015285e-03
